"period","region_final_dep","region_final_arr","Num_month","Num","Num_per_month","move_dir"
"Pandemic (2022/2023)","Oceania","South-eastern Asia",13,4195791,322753.2,"Oceania_SoutheasternAsia"
"Pandemic (2022/2023)","Oceania","Southern Asia",13,1389604,106892.6,"Oceania_SouthernAsia"
"Pandemic (2022/2023)","Oceania","Western Asia",13,543598,41815.2,"Oceania_WesternAsia"
"Pandemic (2022/2023)","Russia","Africa",13,409180,31475.4,"Russia_Africa"
"Pandemic (2022/2023)","Russia","Europe",13,1650349,126949.9,"Russia_Europe"
"Pandemic (2022/2023)","Russia","Japan/Korea",13,86229,6633,"Russia_JapanKorea"
"Pandemic (2022/2023)","Russia","North America",13,85578,6582.9,"Russia_NorthAmerica"
"Pandemic (2022/2023)","Russia","North China",13,51474,3959.5,"Russia_NorthChina"
"Pandemic (2022/2023)","Russia","Oceania",13,17156,1319.7,"Russia_Oceania"
"Pandemic (2022/2023)","Russia","South America",13,25426,1955.8,"Russia_SouthAmerica"
"Pandemic (2022/2023)","Russia","South China",13,95894,7376.5,"Russia_SouthChina"
"Pandemic (2022/2023)","Russia","South-eastern Asia",13,657983,50614.1,"Russia_SoutheasternAsia"
"Pandemic (2022/2023)","Russia","Southern Asia",13,462993,35614.8,"Russia_SouthernAsia"
"Pandemic (2022/2023)","Russia","Western Asia",13,5669867,436143.6,"Russia_WesternAsia"
"Pandemic (2022/2023)","South America","Africa",13,137175,10551.9,"SouthAmerica_Africa"
"Pandemic (2022/2023)","South America","Europe",13,7129673,548436.4,"SouthAmerica_Europe"
"Pandemic (2022/2023)","South America","Japan/Korea",13,130028,10002.2,"SouthAmerica_JapanKorea"
"Pandemic (2022/2023)","South America","North America",13,8687609,668277.6,"SouthAmerica_NorthAmerica"
"Pandemic (2022/2023)","South America","North China",13,5868,451.4,"SouthAmerica_NorthChina"
"Pandemic (2022/2023)","South America","Oceania",13,147714,11362.6,"SouthAmerica_Oceania"
"Pandemic (2022/2023)","South America","Russia",13,22536,1733.5,"SouthAmerica_Russia"
"Pandemic (2022/2023)","South America","South China",13,49119,3778.4,"SouthAmerica_SouthChina"
"Pandemic (2022/2023)","South America","South-eastern Asia",13,121053,9311.8,"SouthAmerica_SoutheasternAsia"
"Pandemic (2022/2023)","South America","Southern Asia",13,88718,6824.5,"SouthAmerica_SouthernAsia"
"Pandemic (2022/2023)","South America","Western Asia",13,454111,34931.6,"SouthAmerica_WesternAsia"
"Pandemic (2022/2023)","South China","Africa",13,319755,24596.5,"SouthChina_Africa"
"Pandemic (2022/2023)","South China","Europe",13,1490544,114657.2,"SouthChina_Europe"
"Pandemic (2022/2023)","South China","Japan/Korea",13,4758108,366008.3,"SouthChina_JapanKorea"
"Pandemic (2022/2023)","South China","North America",13,1470167,113089.8,"SouthChina_NorthAmerica"
"Pandemic (2022/2023)","South China","North China",13,78320369,6024643.8,"SouthChina_NorthChina"
